TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2017-07-05/22:45:37,29.3699,6767.830663,3497.49,-4093.03,-4101.0,-44.3026,176.469,1.06697,1.9636,3.8333,24.511177,35.005068,-162.77899,-34.199752,-45.764897,-359.78556,46.521016,15.321918,363.1041383,-335.29397,64.486194,11.67532,2.4174435,-4.5972418,-0.15550119,5.196426259,-5.7046396,-15.909546,7.5141371,5.90687,18.0499,5.69147,18.6261,22.0739,0.706268,1.53596,0.75520545,-0.63957067,-0.14357607,0.620538,0.0,0.784176,0.935637,288.062,88.591895,75.049178,22.8608,3.1071966,3.427687757,4.098615775,1.4527478,0.59829983,0.854448,1.1495,0.4978611985,12.62035549,0.2161732223,729.3280526,2.712115099,162.7077859,58.88338941
2017-07-08/04:44:56,30.4015,4961.109734,3499.4,-3516.53,28.7436,-14.1349,94.0427,1.06822,1.18497,1.2353,9.7115107,10.971493,-110.40097,-22.435685,39.723566,-388.71168,42.659067,-7.9481734,391.1262451,-380.13004,18.023909,-34.005646,1.524583,-1.3682365,1.567255,2.579285304,-3.2674609,-4.5810781,5.2585331,2.47321,7.75734,2.5938,8.62949,15.7625,0.143828,2.62399,0.7136373,-0.49554691,0.49513137,0.545705,0.0,0.837977,0.870634,934.496,51.973183,50.589354,9.75111,5.449157,5.819811202,7.525539568,1.4668902,0.68876456,0.77812568,1.046,0.2471171549,25.42593739,0.1513657957,1582.756346,4.777583656,209.450388,45.14084929
2017-07-08/22:53:09,30.747,4905.593264,3427.53,-3502.47,222.682,-15.8291,188.945,1.06863,1.98688,2.17982,11.560425,10.649722,-190.20576,-195.85646,22.92032,-390.32012,47.706869,-42.701564,395.5365533,-333.82951,21.45242,-44.316195,1.5831725,0.02015611,0.58037662,1.686320982,2.1975774,1.040588,-3.3428787,1.34176,6.28559,1.69401,7.78121,19.91,0.108678,3.57736,0.94713889,-0.31381254,0.066705426,0.545705,0.0,0.837977,0.966895,781.877,26.213558,52.689852,24.7133,7.1647493,14.78268631,15.08900674,6.1921595,3.2230312,2.9691283,1.02,0.1615636869,38.88983612,0.2595561736,2448.177316,3.596534284,161.7517649,45.67733318
2017-07-11/14:09:21,31.9538,4651.978918,3096.29,-3324.97,999.235,-5.12436,338.784,1.07005,13.2636,16.0497,5.7822981,9.9058145,-124.88844,-66.212189,43.641673,-330.07621,10.171737,-15.61177,330.6017181,-312.17513,22.774224,-42.346668,1.8913521,-2.732943,2.2430591,4.009676338,-7.0916458,-10.579502,5.3337665,4.04457,13.3009,4.01729,15.3605,27.7973,0.0746558,5.06074,0.67489178,-0.60783182,0.41840358,0.568602,0.0,0.822613,0.954636,1405.48,24.060133,41.325229,14.8289,5.6090851,9.787163137,13.74064383,5.191792,1.9135819,3.2782101,1.0095,0.3841606072,16.35562103,1.210481354,860.5820375,1.325443017,62.6042964,48.27273623
2017-07-19/03:19:02,35.3897,5405.528102,2949.21,-4528.65,114.994,-11.8745,207.184,1.0739,4.97993,4.85097,4.9108648,4.8439394,-132.88195,-44.053584,62.328756,-310.09763,21.694097,7.3691863,310.9428869,-288.05395,47.377221,16.23014,1.3318843,-1.6701618,0.6052718,2.220295066,-2.873196,-5.3600496,0.72560527,2.23509,7.17342,2.22189,6.67734,20.4957,0.0360094,1.8591,0.63301534,-0.71144624,0.30518164,0.623482,0.0,0.781838,0.943176,1145.45,21.717374,35.506331,3.54302,5.8931455,9.645816297,14.31770189,3.9622928,1.9947386,1.9675542,1.001,0.2127228805,29.53695104,0.4020415756,1461.727512,2.410905716,102.1699611,56.93490841
2017-07-19/12:10:37,35.5573,4530.884311,2423.93,-3335.39,1878.47,11.6267,70.8307,1.07408,5.61274,5.03964,4.8458438,5.772114,-96.363338,-22.029182,114.50679,-309.85523,26.824009,-21.328065,311.7445707,-289.78477,55.588769,-28.739154,1.9993161,-1.0084795,0.79281992,2.37547031,-3.4147855,-7.7345279,-2.7942502,2.42395,9.59635,2.38195,9.57654,18.3475,0.0689454,2.62272,0.67342189,-0.68728427,0.27229264,0.623482,0.0,0.781838,0.983184,2036.7,21.930162,37.280085,18.2967,6.1011343,10.62037249,14.21533369,4.2296067,1.930316,2.2992907,1.019,0.2275899699,27.60747897,0.4554693923,1369.764102,2.365346469,96.2381763,57.65748218
2017-07-21/14:16:41,36.5027,5965.5743,2890.49,-5159.24,-784.466,-18.3477,65.6253,1.07508,3.85946,4.5628,4.8577638,8.1693265,-209.75029,-69.998723,25.667856,-285.26115,4.4486049,15.29192,285.7053668,-238.99695,1.6906084,-19.49656,0.58741659,-1.1370477,-0.3767327,1.334115156,0.0043281485,-0.14451948,-4.6339689,1.27688,5.85233,1.35444,5.61014,15.3353,0.105081,2.78605,0.62273852,-0.73882912,-0.25754276,0.635306,0.0,0.772261,0.969561,711.538,15.03809,37.918959,12.4155,4.8546632,12.29332904,18.99878022,11.035824,4.1152263,6.9205974,1.003,0.1278194161,49.15673609,0.2630569718,2235.226661,2.48587224,116.0570627,61.01842279
2017-07-27/19:38:02,39.3104,5775.208631,2332.27,-5277.48,248.508,-12.0724,35.8033,1.07793,6.31665,6.51005,26.138006,11.283632,-266.08749,-79.52492,-27.663294,-495.68345,13.630187,25.452024,496.5235847,-447.6083,21.920675,48.761748,-0.48538101,2.4330953,-0.18429934,2.487873331,6.1014815,6.4034667,-2.4276885,1.97107,10.1757,2.5069,10.1757,26.1954,0.260422,3.86443,0.50598514,-0.86164573,-0.039315065,0.670668,0.0,0.741758,0.951317,1210.42,21.756575,72.271055,20.2024,3.6255285,12.11374034,22.82177156,15.145527,10.578743,4.5667843,1.005,0.2383591215,26.36016305,1.300328416,2083.090345,2.081145091,90.71757661,66.18143832
2017-08-13/14:34:39,46.8158,6821.418112,685.089,-6785.95,115.242,-15.2724,254.91,1.08447,5.84407,5.42781,6.5183845,5.6001866,-238.08102,-73.899164,-10.63538,-347.2483,25.641008,12.355612,348.412836,-318.00871,62.720143,20.226797,-1.002019,2.0166152,-1.7166736,2.831562676,2.3848855,2.2876581,-8.0587933,3.33693,8.9814,2.8408,9.06847,12.6551,0.102236,1.89222,0.58134211,-0.76477716,0.27777192,0.755022,0.0,0.655699,0.962087,1565.73,25.631802,40.232857,23.2497,5.1859519,8.506919436,13.5929903,3.5337495,1.900747,1.6330025,1.037,0.271287442,23.16061982,0.5923660745,1284.294007,2.279198774,94.3142124,84.23594967
2017-12-21/15:19:37,104.068,5084.402754,4048.83,-1736.1,2538.52,59.9284,103.92,1.07448,2.1374,1.91873,5.6757593,11.133812,-102.23651,-30.198901,149.16753,-318.34135,14.2173,11.419286,318.8632102,-285.45425,40.71465,21.909138,1.5498348,-1.1375206,-0.20125536,1.932988552,0.96991596,-4.8060564,-4.5682467,2.1705,7.38527,1.94634,6.97416,14.3208,0.104108,1.73975,0.86700092,-0.43222998,0.247965,0.464513,0.0,0.885566,0.976202,711.198,29.038376,45.768528,22.529,5.8550584,9.618850702,10.98075217,3.819044,1.289502,2.5295421,1.0315,0.185196508,33.92712625,0.1814600845,1721.756062,3.833430449,155.9523576,37.21954589
2017-12-22/13:51:58,104.492,5486.788855,4177.61,-1349.94,3290.91,64.911,142.097,1.07403,7.69316,9.3463,19.818882,14.29496,-161.23979,-13.869179,58.074907,-387.45812,62.703152,-24.440875,393.2592483,-364.32769,67.037095,-34.876718,-3.0986399,3.0074682,-2.2270005,4.858597064,6.3110654,16.663837,-4.6072206,5.35423,19.5922,4.89586,18.9626,33.829,0.159717,3.49222,0.79178493,-0.47965545,0.37816301,0.480993,0.0,0.876725,0.950021,265.155,38.501105,65.516172,12.7831,5.2181814,8.989405469,10.21423277,4.4088661,2.5613883,1.8474778,1.009,0.4654943295,13.49787722,0.9934571274,844.8207065,1.73689939,82.20201522,40.41272518
